Channel,Date,Start time,Film Code,Break Code,Advertiser,Brand,Agency,Holding Company,BARB Prog Before,BARB Prog After,Sales House,Major category,Mid category,Minor category,All PIB rel,All PIB pos,Log Station (2010-),Impacts A4+
ITV1 HD,26/03/2024,12:53:16,ACBPLUK029030,CB,British telecom,Bt plusnet drtv,Essence global limit,British telecommunic,LOOSE WOMEN,LOOSE WOMEN,ITV SALES,Telecoms,Fixed line services,Home broadband,Middle,4,ITV1 HD London Carlton,25
ITV1 HD,26/03/2024,12:53:46,QSTOTBE279030,CB,On the beach,Onthebeach.co.uk,Goodstuff communicat,Inflexion private eq,LOOSE WOMEN,LOOSE WOMEN,ITV SALES,Travel & transport,Travel agents,Travel agents,Middle,5,ITV1 HD London Carlton,25
ITV1 HD,26/03/2024,12:54:16,HOGNIAB369020,CB,Birds eye,Aunt bessies,Zenith uk media limi,Nomad foods europe,LOOSE WOMEN,LOOSE WOMEN,ITV SALES,Food,Frozen food,Frozen pies/pastry/yorkshires,Middle,6,ITV1 HD London Carlton,25
ITV1 HD,26/03/2024,12:54:36,TTBFMTB005030,CB,Findmypast,Findmypast.co.uk,Smithfield agency,Findmypast,LOOSE WOMEN,LOOSE WOMEN,ITV SALES,Computers,Computing services,Internet services including isps,3rd last,7,ITV1 HD London Carlton,25
ITV1 HD,26/03/2024,12:55:06,TBMMPHY459030,CB,Merlin entertainment,Merlin annual pass,Wavemaker limited,Merlin entertainment,LOOSE WOMEN,LOOSE WOMEN,ITV SALES,Entertainment & leisure,Leisure activities,Theme parks,2nd last,8,ITV1 HD London Carlton,25
ITV1 HD,26/03/2024,12:55:36,PFPLIVE042030,CB,Henkel,Schwarzkopf live hair colour,Wavemaker limited,Henkel,LOOSE WOMEN,LOOSE WOMEN,ITV SALES,Cosmetics & personal care,Haircare,Colorant - permanent,Last,9,ITV1 HD London Carlton,25
ITV1 HD,26/03/2024,13:07:51,HOGKLML591030,CB,Kellogg marketing &,Kelloggs cereal,Dentsu uk limited,Kellogg uk holding,LOOSE WOMEN,LOOSE WOMEN,ITV SALES,Food,Food brand building,Food - brand building,First,1,ITV1 HD London Carlton,41
ITV1 HD,26/03/2024,13:08:21,SRQBSHS001030,CB,Bissell homecare ove,Bissell hydrosteam vacuum cleaners,Smart response media,Bissell homecare ove,LOOSE WOMEN,LOOSE WOMEN,ITV SALES,Electronics, household appliances & tech",Small appliances - home,Small appliances home - multi products,2nd,2,ITV1 HD London Carlton,22
ITV1 HD,26/03/2024,13:08:51,ACBLIUK090020,CB,Lidl uk gmbh,Lidl easter,Omd group limited,Lidl uk gmbh,LOOSE WOMEN,LOOSE WOMEN,ITV SALES,Food,Food brand building,Food & drink - multi product,3rd,3,ITV1 HD London Carlton,22
ITV1 HD,26/03/2024,13:09:11,NVCGFGF102030,CB,Giffgaff,Giffgaff mobile network,Manning gottlieb omd,Telefonica europe,LOOSE WOMEN,LOOSE WOMEN,ITV SALES,Telecoms,Personal mobile networks & services,Mobile pay monthly - sim only,Middle,4,ITV1 HD London Carlton,17
ITV1 HD,26/03/2024,13:09:41,NCAALZH034060,CB,Alzheimers society,Alzheimers society,Medialab group limit,Alzheimers society,LOOSE WOMEN,LOOSE WOMEN,ITV SALES,Government social political organisation,Charities,Health charities,3rd last,5,ITV1 HD London Carlton,17
ITV1 HD,26/03/2024,13:10:41,MCLDODW073010,CB,Roofoods,Deliveroo takeaway delivery,Mediabrands limited,Roofoods,LOOSE WOMEN,LOOSE WOMEN,ITV SALES,Entertainment & leisure,Restaurants & bars,Delivery partners,2nd last,6,ITV1 HD London Carlton,22
ITV1 HD,26/03/2024,13:10:51,BEVAGIM001030,CB,Paramount pictures,Paramount plus video streaming,Wavemaker limited,Paramount pictures,LOOSE WOMEN,LOOSE WOMEN,ITV SALES,Entertainment & leisure,Home entertainment,Film/programme downloads/streaming,Last,7,ITV1 HD London Carlton,22
